2023-04-06 09:32:04,590 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [lv.javaguru.travel.insurance.rest.v1.TravelCalculatePremiumControllerTestCase2], using SpringBootContextLoader
2023-04-06 09:32:04,597 [Test worker] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [lv.javaguru.travel.insurance.rest.v1.TravelCalculatePremiumControllerTestCase2]: no resource found for suffixes {-context.xml, Context.groovy}.
2023-04-06 09:32:04,598 [Test worker] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [lv.javaguru.travel.insurance.rest.v1.TravelCalculatePremiumControllerTestCase2]: TravelCalculatePremiumControllerTestCase2 does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2023-04-06 09:32:04,716 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration lv.javaguru.travel.insurance.InsuranceApplication for test class lv.javaguru.travel.insurance.rest.v1.TravelCalculatePremiumControllerTestCase2
2023-04-06 09:32:04,799 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2023-04-06 09:32:04,818 [Test worker] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@e362c57, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1c4ee95c, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@79c4715d, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5aa360ea, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@6548bb7d, org.springframework.test.context.support.DirtiesContextTestExecutionListener@e27ba81, org.springframework.test.context.transaction.TransactionalTestExecutionListener@54336c81, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@1556f2dd, org.springframework.test.context.event.EventPublishingTestExecutionListener@35e52059, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@62577d6, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@49bd54f7, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@6b5f8707, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@772485dd, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@5a12c728, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@79ab3a71]
2023-04-06 09:32:05,103 [Test worker] INFO  l.j.t.i.r.v.TravelCalculatePremiumControllerTestCase2 - Starting TravelCalculatePremiumControllerTestCase2 using Java 18.0.2 on VSAVONINS with PID 25760 (started by admin in C:\javaguru\projects\java2-real-practice-with-mentor\teacher\step_103_version_2)
2023-04-06 09:32:05,104 [Test worker] INFO  l.j.t.i.r.v.TravelCalculatePremiumControllerTestCase2 - No active profile set, falling back to 1 default profile: "default"
2023-04-06 09:32:05,936 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2023-04-06 09:32:06,067 [Test worker] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 121 ms. Found 5 JPA repository interfaces.
2023-04-06 09:32:06,588 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-06 09:32:06,752 [Test worker] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-06 09:32:06,948 [Test worker] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2023-04-06 09:32:07,025 [Test worker] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.12.Final
2023-04-06 09:32:07,229 [Test worker] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
